net,sta,loc,ch,lat,lon,wZ,wN,wE,starttime
IA,FKSPI,,SH,-1.1594,132.016,1.0,1.0,1.0,2022-09-22T07:45:29
IA,GARPI,,SH,-0.43465,129.9,1.0,1.0,1.0,2023-08-03T07:45:29
IA,GBJI,,BH,-6.9485,109.966,1.0,1.0,1.0,2019-01-01T00:00:00
IA,GEBBI,,SH,-8.164,114.714,1.0,1.0,1.0,2022-09-22T07:45:29
IA,GEJI,,BH,-8.41019,112.64507,1.0,1.0,1.0,2019-01-01T00:00:00
IA,GENI,,SH,-2.59268,140.167757,1.0,1.0,1.0,2009-11-26T00:00:00
IA,GESM,00,SH,4.8421,96.1278,1.0,1.0,1.0,2019-01-01T00:00:00
IA,GGJM,00,SH,-7.1717,111.2037,1.0,1.0,1.0,2019-01-01T00:00:00
IA,GHMI,00,BH,-0.35629,127.8797,1.0,1.0,1.0,2019-01-01T00:00:00
IA,GKJM,00,SH,-7.8411,110.5922,1.0,1.0,1.0,2019-01-01T00:00:00
IA,GLMI,,SH,1.8381,127.7879,1.0,1.0,1.0,2009-01-01T00:00:00
IA,GMJI,00,BH,-8.2732,113.4441,1.0,1.0,1.0,2008-01-01T00:00:00
IA,GPSM,00,SH,4.869343,96.090448,1.0,1.0,1.0,2019-01-01T00:00:00
IA,GRJI,,SH,-6.9145,112.4793,1.0,1.0,1.0,2008-01-01T00:00:00
IA,GSI,,BH,1.3039,97.5755,1.0,1.0,1.0,2005-10-02T00:00:00
IA,GTJI,,SH,-7.163845,110.183745,1.0,1.0,1.0,2021-12-31T00:00:00
IA,GTOI,00,BH,0.7628,122.87,1.0,1.0,1.0,2022-10-10T09:22:41
IA,GTSI,00,BH,-0.5981,101.4888,1.0,1.0,1.0,2019-01-01T00:00:00
IA,GUJM,00,SH,-7.0544,110.666,1.0,1.0,1.0,2019-01-01T00:00:00
IA,HINSI,,SH,-0.54,98.499,1.0,1.0,1.0,2022-09-22T07:45:29
IA,IATSM,,BH,4.92405,97.784545,1.0,1.0,1.0,2020-10-01T00:00:00
IA,IBTI,00,BH,-8.3894,123.2645,1.0,1.0,1.0,2019-01-01T00:00:00
IA,IGBI,00,SH,-8.818,115.146,1.0,1.0,1.0,2005-01-01T00:00:00
IA,IHMI,00,BH,1.508213,127.555625,1.0,1.0,1.0,2019-01-01T00:00:00
IA,IHRSI,,SH,0.02,103.17,1.0,1.0,1.0,2021-11-26T00:00:00
IA,IWPI,00,BH,-2.7581,134.5162,1.0,1.0,1.0,2019-01-01T00:00:00
IA,JAASI,,SH,3.766,96.82,1.0,1.0,1.0,2022-09-22T07:45:29
IA,JAGI,,SH,-8.4703,114.152,1.0,1.0,1.0,2008-07-21T00:00:00
IA,JASI,,BH,-1.41453,101.45838,1.0,1.0,1.0,2019-01-01T00:00:00
IA,JAY,,SH,-2.5145,140.7043,1.0,1.0,1.0,2006-01-01T00:00:00
IA,JBJI,,BH,-6.48374,106.46986,1.0,1.0,1.0,2019-01-01T00:00:00
IA,JBJM,00,SH,-6.9729,111.4587,1.0,1.0,1.0,2019-01-01T00:00:00
IA,JCJI,,SH,-6.7344,108.2631,1.0,1.0,1.0,2006-01-01T00:00:00
IA,JHMI,00,BH,1.082067,127.47828,1.0,1.0,1.0,2019-01-01T00:00:00
IA,JMBI,00,BH,-1.6764,103.576,1.0,1.0,1.0,2006-01-01T00:00:00
IA,JMSI,,BH,-2.63715,101.88745,1.0,1.0,1.0,2019-01-01T00:00:00
IA,JPJI,,BH,-6.5307,107.4175,1.0,1.0,1.0,2019-01-01T00:00:00
IA,JPSI,,BH,-1.34164,100.58645,1.0,1.0,1.0,2019-01-01T00:00:00
IA,JSBFM,,BH,-8.8716567,116.8164717,1.0,1.0,1.0,2019-11-01T00:00:00
IA,JTJM,00,SH,-7.0573,106.8015,1.0,1.0,1.0,2019-01-01T00:00:00
IA,JWJM,00,SH,-7.206245,110.731458,1.0,1.0,1.0,2019-01-01T00:00:00
IA,KABKI,00,SH,-0.750684,116.241898,1.0,1.0,1.0,2023-12-22T02:30:00
IA,KAKKI,00,SH,1.366887,117.750031,1.0,1.0,1.0,2023-12-27T13:35:00
IA,KARPI,,SH,-0.061,130.991,1.0,1.0,1.0,2023-08-04T07:45:29
IA,KASAI,,SH,2.491893,97.858239,1.0,1.0,1.0,2022-09-22T07:45:29
IA,KASI,,BH,-5.5236,104.4967,1.0,1.0,1.0,2008-01-01T00:00:00
IA,KBBI,,BH,-8.286,115.2547,1.0,1.0,1.0,2019-01-01T00:00:00
IA,KBJM,00,SH,-7.0505,111.2329,1.0,1.0,1.0,2019-01-01T00:00:00
IA,KBKI,,SH,-3.2995,116.1668,1.0,1.0,1.0,2008-01-01T00:00:00
IA,KBSSI,,SH,-9.593,118.993,1.0,1.0,1.0,2022-07-27T07:45:29
IA,KCSI,,BH,3.522,97.7715,1.0,1.0,1.0,2009-01-01T00:00:00
IA,KDI,,SH,-3.95743,122.61926,1.0,1.0,1.0,2006-12-26T00:00:00
IA,KGCM,00,SH,0.639702,122.851648,1.0,1.0,1.0,2019-01-01T00:00:00
IA,KHK,,BH,-8.36404,115.60964,1.0,1.0,1.0,2007-04-03T00:00:00
IA,KHSSI,,SH,-9.801,119.945,1.0,1.0,1.0,2022-09-22T07:45:29
IA,KIMPI,,SH,-7.979,138.852,1.0,1.0,1.0,2023-08-21T07:45:29
IA,KJCM,,BH,-5.5646,119.8026,1.0,1.0,1.0,2019-11-01T00:00:00
IA,KJPI,,SH,-6.155971,106.842266,1.0,1.0,1.0,2024-09-10T04:13:03
IA,KKJM,00,SH,-7.843384,110.057248,1.0,1.0,1.0,2023-11-30T10:00:00
IA,KKKI,00,BH,-2.5137,110.1951,1.0,1.0,1.0,2019-01-01T00:00:00
IA,KKKKI,,SH,-1.871143,113.419801,1.0,1.0,1.0,2022-09-22T07:45:29
IA,KKMI,00,BH,-5.6923,132.718,1.0,1.0,1.0,2019-01-01T00:00:00
IA,KKSI,,SH,-4.1718,121.6513,1.0,1.0,1.0,2009-01-01T00:00:00
IA,KKTKI,,SH,1.186094,116.949317,1.0,1.0,1.0,2022-09-22T07:45:29
IA,KLI,,SH,-4.8363,104.87052,1.0,1.0,1.0,2006-01-01T00:00:00
IA,KLJI,,BH,-7.99607,113.25175,1.0,1.0,1.0,2019-01-01T00:00:00
IA,KLNI,,SH,-8.42188,116.09492,1.0,1.0,1.0,2007-01-01T00:00:00
IA,KLSI,00,SH,-4.6871,104.7317,1.0,1.0,1.0,2005-01-01T00:00:00
IA,KLSM,00,SH,3.0863,97.3298,1.0,1.0,1.0,2019-01-01T00:00:00
IA,KMBFM,,BH,-8.5654217,120.31311,1.0,1.0,1.0,2020-10-01T00:00:00
IA,KMMI,,SH,-7.0412,113.9157,1.0,1.0,1.0,2006-01-01T00:00:00
IA,KMNI,,SH,-8.5883,116.0995,1.0,1.0,1.0,2021-11-26T00:00:00
IA,KMPI,,SH,-3.6616,133.7044,1.0,1.0,1.0,2009-01-01T00:00:00
IA,KMSI,,SH,0.5745,123.98,1.0,1.0,1.0,2008-01-01T00:00:00
IA,KOMFI,,SH,-8.536,119.547,1.0,1.0,1.0,2022-09-22T07:45:29
IA,KORPI,,SH,-1.158,129.845,1.0,1.0,1.0,2022-09-22T07:45:29
IA,KPJI,,SH,-7.3333,108.931,1.0,1.0,1.0,2008-01-01T00:00:00
IA,KPJM,00,SH,-7.1883,111.9281,1.0,1.0,1.0,2019-01-01T00:00:00
IA,KRAI,00,SH,-3.318365,128.394745,1.0,1.0,1.0,2009-10-20T00:00:00
IA,KRJI,,SH,-2.0912,101.4619,1.0,1.0,1.0,2007-01-01T00:00:00
IA,KRSI,20,SH,-1.82,119.42,1.0,1.0,1.0,2019-11-20T00:00:00
IA,KSI,,SH,-3.6517,102.5929,1.0,1.0,1.0,2005-01-01T00:00:00
IA,KTMI,00,BH,-7.669066,131.579205,1.0,1.0,1.0,2019-01-01T00:00:00
IA,KTTI,00,BH,-10.01356,124.5339,1.0,1.0,1.0,2019-01-01T00:00:00
IA,KUBSI,,SH,-4.78121,123.18684,1.0,1.0,1.0,2022-09-22T07:45:29
IA,KUKI,,SH,-0.0394,115.6305,1.0,1.0,1.0,2021-11-26T00:00:00
IA,KUSI,00,BH,3.1964,97.3706,1.0,1.0,1.0,2019-01-01T00:00:00
IA,KWJI,,BH,-7.3837,109.9691,1.0,1.0,1.0,2019-01-01T00:00:00
IA,LASI,,SH,4.4572,97.9704,1.0,1.0,1.0,2009-10-20T00:00:00
IA,LBFI,00,SH,-8.48,119.8921,1.0,1.0,1.0,2005-01-01T00:00:00
IA,LBMI,,SH,-0.6379,127.5008,1.0,1.0,1.0,2007-01-01T00:00:00
IA,LBNFM,,BH,-8.6017,119.0124,1.0,1.0,1.0,2019-11-01T00:00:00
IA,LBTSI,,SH,-0.475,100.625,1.0,1.0,1.0,2022-09-22T07:45:29
IA,LDSI,,BH,2.886,98.157,1.0,1.0,1.0,2019-09-16T00:00:00
IA,LEM,,BH,-6.8266,107.61756,1.0,1.0,1.0,2005-01-01T00:00:00
IA,LEMFI,,SH,-8.707,120.172,1.0,1.0,1.0,2022-09-22T07:45:29
IA,LESM,00,SH,-4.96147,103.71256,1.0,1.0,1.0,2019-01-01T00:00:00
IA,LHMI,,SH,5.2288,96.9472,1.0,1.0,1.0,2008-02-29T00:00:00
